Participant,Group,Phase,Condition,GroupCode,WindowIndex,WindowStart_s,WindowEnd_s,f_peak_Hz,LFpeak_TP,LF_power,HF_power,TP,LF_HF,RespRate_bpm,RF_cardiac,RF_CR
E02,HRVBF,Intervention,1,1,3,90.796875,150.796875,0.13333333333333333,0.5904401552733961,0.0013970287491715495,0.0009690514313417023,0.0023660801805132524,1.441645617547141,13.805309734513276,0,0
E02,HRVBF,Intervention,1,1,4,120.796875,180.796875,0.08333333333333333,0.477527143286292,0.0032122747187026653,0.0035146197916200903,0.006726894510322754,0.9139750269322712,14.56121343445287,1,0
E02,HRVBF,Intervention,1,1,5,150.796875,210.796875,0.05,0.39814738164060726,0.0009489289137567391,0.0014344320161747348,0.002383360929931474,0.661536345436078,14.949944382647388,0,0
E02,HRVBF,Intervention,1,1,6,180.796875,240.796875,0.11666666666666667,0.722665907189573,0.0017381083341665114,0.0006670256521951323,0.002405133986361644,2.6057593564003496,17.953795379537954,0,0
E02,HRVBF,Intervention,1,1,7,210.796875,270.796875,0.08333333333333333,0.7706759979655823,0.004265700894201936,0.0012693111023601245,0.0055350119965620614,3.3606425456063542,16.298811544991512,1,0
E03,HRVBF,Baseline,0,1,0,0.546875,60.546875,0.13333333333333333,0.49235220981818967,0.0037523361011806465,0.0038689074443012906,0.007621243545481936,0.9698696997023416,28.324552160168597,0,0
E03,HRVBF,Baseline,0,1,1,30.546875,90.546875,0.11666666666666667,0.40874336439100684,0.0008191699625833981,0.001184948107452778,0.002004118070036176,0.6913129422556112,23.272727272727273,0,0
E03,HRVBF,Baseline,0,1,2,60.546875,120.546875,0.15,0.5308516955557661,0.002150705193738261,0.0019007186064374487,0.00405142380017571,1.131522144547933,27.071583514099785,0,0
E03,HRVBF,Baseline,0,1,3,90.546875,150.546875,0.05,0.7080052820535195,0.002204601683536624,0.0009092192715024852,0.003113820955039109,2.4247194847657805,27.353424657534248,0,0
E03,HRVBF,Baseline,0,1,4,120.546875,180.546875,0.15,0.18517276393408436,0.00020344751038662613,0.0008952427400815637,0.00109869025046819,0.22725401869004874,22.302006335797255,0,0
E03,HRVBF,Baseline,0,1,5,150.546875,210.546875,0.15,0.4028287220735661,0.0010258085535588893,0.001520704386924913,0.0025465129404838023,0.6745614482202057,21.855435401252137,0,0
E03,HRVBF,Baseline,0,1,6,180.546875,240.546875,0.11666666666666667,0.46320054573940855,0.0019077139058581273,0.002210834579038058,0.0041185484848961845,0.8628931010696334,20.76266363118953,0,0
E03,HRVBF,Baseline,0,1,7,210.546875,270.546875,0.13333333333333333,0.7441303904836055,0.0012663754216929854,0.000435443826503525,0.0017018192481965103,2.908240614780501,21.719457013574658,0,0
